input,output
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
42,1
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5
10,0.5